fid,prow,pcol,grow,prow_pcol_grow,exp,plot.x,sub_plot,exp_plot_subplot,exp_plot,experiment,plot.y,oatName,peaName,pea_type,oat_percent,pea_percent
197,2,23,2,2_23_2,density,80,2,density_80_2,density80,density,80,IL17-7339,AUSTRIAN FIELD PEAS,na,50,0
198,2,23,3,2_23_3,density,80,1,density_80_1,density80,density,80,IL17-7339,AUSTRIAN FIELD PEAS,na,50,0
199,2,24,1,2_24_1,density,79,3,density_79_3,density79,density,79,IL17-1253,delta field pea,grain,100,100
200,2,24,2,2_24_2,density,79,2,density_79_2,density79,density,79,IL17-1253,delta field pea,grain,100,100
201,2,24,3,2_24_3,density,79,1,density_79_1,density79,density,79,IL17-1253,delta field pea,grain,100,100
202,2,25,1,2_25_1,density,78,3,density_78_3,density78,density,78,IL17-1253,Icicle Winter Peas,forage,100,100
203,2,25,2,2_25_2,density,78,2,density_78_2,density78,density,78,IL17-1253,Icicle Winter Peas,forage,100,100
204,2,25,3,2_25_3,density,78,1,density_78_1,density78,density,78,IL17-1253,Icicle Winter Peas,forage,100,100
205,2,26,1,2_26_1,density,77,3,density_77_3,density77,density,77,ND180256,AUSTRIAN FIELD PEAS,na,100,0
206,2,26,2,2_26_2,density,77,2,density_77_2,density77,density,77,ND180256,AUSTRIAN FIELD PEAS,na,100,0
207,2,26,3,2_26_3,density,77,1,density_77_1,density77,density,77,ND180256,AUSTRIAN FIELD PEAS,na,100,0
208,2,27,1,2_27_1,density,76,3,density_76_3,density76,density,76,ND180256,delta field pea,grain,100,100
209,2,27,2,2_27_2,density,76,2,density_76_2,density76,density,76,ND180256,delta field pea,grain,100,100
210,2,27,3,2_27_3,density,76,1,density_76_1,density76,density,76,ND180256,delta field pea,grain,100,100
211,2,28,1,2_28_1,density,75,3,density_75_3,density75,density,75,ND180256,DS Admiral,grain,50,50
212,2,28,2,2_28_2,density,75,2,density_75_2,density75,density,75,ND180256,DS Admiral,grain,50,50
213,2,28,3,2_28_3,density,75,1,density_75_1,density75,density,75,ND180256,DS Admiral,grain,50,50
214,2,29,1,2_29_1,density,74,3,density_74_3,density74,density,74,ND180256,Icicle Winter Peas,forage,50,100
215,2,29,2,2_29_2,density,74,2,density_74_2,density74,density,74,ND180256,Icicle Winter Peas,forage,50,100
216,2,29,3,2_29_3,density,74,1,density_74_1,density74,density,74,ND180256,Icicle Winter Peas,forage,50,100
217,2,30,1,2_30_1,density,73,3,density_73_3,density73,density,73,IL17-7339,AUSTRIAN FIELD PEAS,forage,100,100
218,2,30,2,2_30_2,density,73,2,density_73_2,density73,density,73,IL17-7339,AUSTRIAN FIELD PEAS,forage,100,100
219,2,30,3,2_30_3,density,73,1,density_73_1,density73,density,73,IL17-7339,AUSTRIAN FIELD PEAS,forage,100,100
220,2,31,1,2_31_1,density,72,3,density_72_3,density72,density,72,IL17-1253,AUSTRIAN FIELD PEAS,na,100,0
221,2,31,2,2_31_2,density,72,2,density_72_2,density72,density,72,IL17-1253,AUSTRIAN FIELD PEAS,na,100,0
222,2,31,3,2_31_3,density,72,1,density_72_1,density72,density,72,IL17-1253,AUSTRIAN FIELD PEAS,na,100,0
223,2,32,1,2_32_1,density,71,3,density_71_3,density71,density,71,OT7100,AUSTRIAN FIELD PEAS,forage,50,100
224,2,32,2,2_32_2,density,71,2,density_71_2,density71,density,71,OT7100,AUSTRIAN FIELD PEAS,forage,50,100
